TestCaseId,VerificationStepNo,Description,Result,Comment
MAC0004,1,URL opened,Passed,
MAC0004,2,Username and password entered,Passed,
MAC0004,3,Login is successful,Passed,
MAC0004,4,New segment added successfully,Passed,
MAC0004,5,Details entered,Passed,
MAC0004,6,Segment updated,Passed,
MAC0004,7,About Plan Segment section opened,Passed,
MAC0004,8,Goals section opened,Failed,org.openqa.selenium.NoSuchElementException: Unable to locate element: {"method":"xpath","selector":"//body/form/div[5]/div[1]/div[2]/div[1]/div[1]/span[1]/span[1]"}
System info: os.name: 'Windows 7', os.arch: 'x86', os.version: '6.1', java.version: '1.6.0_23'
Driver info: driver.version: RemoteWebDriver
