Channels administration,Channels administration
New Plan v.1 (dev),New Plan v.1 (dev)
Delete plan,Delete plan
Information sharing model,Information sharing model
Automation Test Plan v.1 (dev),Automation Test Plan v.1 (dev)
Segment For Undo Add Segment,Segment For Undo Add Segment
Segment For Undo Remove This Segment,Segment For Undo Remove This Segment
Segment For Undo Add Goal,Segment For Undo Add Goal
AddGoal,AddGoal
Actor,Actor
this is task 121,this is task 121
Location,Location
Type,Type
Afour Tech121,Afour Tech121
This is Task 121,This is Task 121
Segment For Add Task,Segment For Add Task
Segment for Undo Remove Goal,Segment for Undo Remove Goal
Segment For Undo Add Task,Segment For Undo Add Task
Task One,Task 1
Segment For Undo Cut Task,Segment For Undo Cut Task
Segment For Undo Paste Task Using Cut,Segment For Undo Paste Task Using Cut
The Other Segment,The Other Segment
Segment For Undo Paste Task Using Copy,Segment For Undo Paste Task Using Copy
Segment For Undo Duplicate Task,Segment For Undo Duplicate Task
Segment For Undo Intermediate,Segment For Undo Intermediate
This is a Flow,This is a Flow
Task Sender,Task Sender
Task Receiver,Task Receiver
Segment For Undo Disintermediate,Segment For Undo Disintermediate
Segment For Undo Move Task,Segment For Undo Move Task
Task 1,Task 1
Task 2,Task 2
Segment For Undo Connect Flow,Segment For Undo Connect Flow
Segment For Undo Attach Document,Segment For Undo Attach Document
AttachmentFileName,CAP
Segment For Copy Attachment,Segment For Copy Attachment
Task for attachment,Task for attachment
Segment For Cut Attachment,Segment For Cut Attachment
Task for attachment,Task for attachment
Segment For Undo Paste Attachment,Segment For Undo Paste Attachment
Segment For Copy task,Segment For Copy task
Copy task,Copy task
Set task from Copy,Set task from Copy
Segment For Undo Set Task From Copy,Segment For Undo Set Task From Copy
Segment For Undo Add Info Need,Segment For Undo Add Info Need
Segment For Undo Add Info Capability,Segment For Undo Add Info Capability
Segment For Undo Remove Flow,Segment For Undo Remove Flow
Remove Flow,Remove Flow
Add Received Info,Add Received Info
Undo Remove Flow,Undo Remove Flow
Segment For Undo duplicate Flow,Segment For Undo duplicate Flow
Duplicate Flow,Duplicate Flow
Duplicate this flow Info,Duplicate this flow Info
Undo Duplicate Flow,Undo Duplicate Flow
Add Test Plan,Add Test Plan
Delete Test Plan,Delete Test Plan
Afourtech,Afourtech
Full Name,Full Name
Password,Password
User for deletion,User for deletion
This is an phase for details,This is an phase for details
This is an Description,This is an Description
Segment For Add New Segment,Segment For Add New Segment
Segment For Remove Segment,Segment For Remove Segment
Segment For Add Event,Segment For Add Event
Segment For Delete Event,Segment For Delete Event
Segment For Attach File,Segment For Attach File
This is File 1,This is File 1
Segment For Delete Attachment,Segment For Delete Attachment
Segment For Add Goal,Segment For Add Goal
Add Goals,Add Goals
This is an event for deletion,This is an event for deletion
This is File 1 for deletion,This is File 1 for deletion
Segment for Send info,Segment for Send info
Segment For Undo break up flow,Segment For Undo break up flow
Break up Flow,Break up Flow
Undo Break Up Flow,Undo Break Up Flow
Segment For Copy Flow,Segment For Copy Flow
Copy flow,Copy flow
Audit,Audit
Receives informations,Receives informations
Title,Title
Role,Role
Jurisdiction,Jurisdiction
Supervisor,Supervisor
Segment For Redo Add Segment,Segment For Redo Add Segment
Segment For Redo Remove This Segment,Segment For Redo Remove This Segment
Segment For Redo Add Goal,Segment For Redo Add Goal
Redo Add Goal,Redo Add Goal
Segment for Redo Remove Goal,Segment for Redo Remove Goal
Redo Remove Goal,Redo Remove Goal
Segment For Redo Paste Task Using Cut,Segment For Redo Paste Task Using Cut
