sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
TC0001_PlannerA:/login.html,40,7,5,15,2,42,0.0,0.3564141175631967,0.5119972333354125
TC0002_PlannerB:/login.html,40,6,4,10,2,36,0.0,0.3591567000682398,0.5159370173831843
TC0001_PlannerA:/login.do,20,1131,1243,2199,38,2498,0.0,6.540222367560497,159.87267004578158
TC0003_PlannerC:/login.html,40,6,4,9,2,49,0.0,0.37014074601867364,0.5317158568295595
TC0002_PlannerB:/login.do,20,1226,1254,2392,85,2842,0.0,6.0368246302444915,147.5670535579535
TC0001_PlannerA:/;jsessionid=lh1vm01a5fzp13wv1peqjmq0f,20,1389,1159,2633,100,3046,0.0,4.9825610363726955,121.99586603139012
TC0003_PlannerC:/login.do,20,1412,1289,2430,218,3090,0.0,5.755395683453237,140.68738758992805
TC0002_PlannerB:/,40,634,25,1670,5,3049,0.0,0.35947947372205047,4.659041793420626
TC0001_PlannerA:/home,20,1010,886,1767,307,2830,0.0,4.166666666666667,102.01904296875
TC0003_PlannerC:/,40,631,25,1861,5,2494,0.0,0.3709370797978393,4.807529298233413
TC0003_PlannerC:/home,20,730,420,1973,110,2265,0.0,4.641448131817127,113.64340986887909
TC0002_PlannerB:/home,20,1069,933,2268,93,2787,0.0,4.800768122899664,117.54451024663945
TC0001_PlannerA:/plan,500,3354,627,9718,12,22031,0.0,4.478480899278964,140.5982253319674
TC0003_PlannerC:/plan,420,3459,1039,9802,9,25160,0.0,3.944550884706413,126.10554366418253
TC0002_PlannerB:/plan,340,4573,2107,12130,8,23343,0.0,3.121901054100709,127.32407492160814
TC0003_PlannerC:/plan?wicket:interface=:3:indicator:big-form:sg-editor:mo:aspect:name::IBehaviorListener:0:-1&random=0.34656063287857475,20,3219,2511,5601,56,6603,0.0,0.7402472425790214,12.11699434173514
TC0001_PlannerA:/plan?wicket:interface=:1:indicator:big-form:sg-editor:mo:aspect:name::IBehaviorListener:0:-1&random=0.04952374825592731,20,4001,3027,6369,124,10078,0.0,0.5906848991405534,9.646882337413981
TC0003_PlannerC:/plan?wicket:interface=:3:indicator:big-form:plan:mo:aspect:tabs:panel:newInvolvedContainer:newInvolved::IBehaviorListener:0:-1&random=0.14536738289529483,20,123,57,326,26,487,0.0,0.2859716602084733,0.12511260134120708
TC0002_PlannerB:/plan?wicket:interface=:3:indicator:big-form:sg-editor:mo:aspect:name::IBehaviorListener:0:-1&random=0.4138994495518806,20,4985,4000,9188,803,9897,0.0,0.659326168655634,11.522497445111096
TC0001_PlannerA:/plan?wicket:interface=:1:indicator:big-form:plan:mo:aspect:phases:phasesDiv:phase:2:name-container:name-input::IBehaviorListener:0:-1&random=0.46378963077786883,20,141,88,220,39,682,0.0,0.4170924485412192,0.03586424813872495
TC0001_PlannerA:/plan?wicket:interface=:1:indicator:big-form:plan:mo:aspect:tabs:panel:newInvolvedContainer:newInvolved::IBehaviorListener:0:-1&random=0.822921901842721,20,151,72,404,20,501,0.0,0.29251740478558474,0.45467317121774997
TC0003_PlannerC:/plan?wicket:interface=:3:indicator:big-form:sg-editor:mo:aspect:context:container:creationDiv:event::IBehaviorListener:0:-1&random=0.9994412394033615,20,765,617,1310,41,2231,0.0,0.2646517844146564,0.01807850812480978
TC0003_PlannerC:/plan?wicket:interface=:3:indicator:big-form:sg-editor:mo:aspect:context:container:creationDiv:level::IBehaviorListener:0:-1&random=0.6389264980464004,20,3481,2198,6975,58,9202,0.0,0.24241248909143798,4.558289882157228
TC0003_PlannerC:/logout,20,14,13,20,7,32,0.0,0.24089710080339183,0.34605433132987246
TC0002_PlannerB:/plan?wicket:interface=:3:indicator:big-form:sg-editor:mo:aspect:goalsDiv:goal:0:category::IBehaviorListener:0:-1&random=0.7597529129175038,20,60,24,164,9,219,0.0,0.5841974587410544,0.03936486782532496
TC0002_PlannerB:/plan?wicket:interface=:3:indicator:big-form:sg-editor:mo:aspect:goalsDiv:goal:0:organization:name::IBehaviorListener:0:-1&random=0.9689886339409747,20,8972,9250,11233,5601,13273,0.0,0.3493083694285315,20.082280541558962
TC0001_PlannerA:/plan?wicket:interface=:1:indicator:big-form:segment:part:task::IBehaviorListener:0:-1&random=0.6748635462921264,20,6815,7156,10076,155,14393,0.0,0.26881359121517184,7.0013471131100395
TC0001_PlannerA:/plan?wicket:interface=:1:indicator:big-form:segment:part:actor:name::IBehaviorListener:0:-1&random=0.5394079998653609,20,4231,3184,8353,56,8712,0.0,0.3464523281596453,8.605804781691727
TC0001_PlannerA:/plan?wicket:interface=:1:indicator:big-form:segment:part:organization:name::IBehaviorListener:0:-1&random=0.09072531443656007,20,4010,4809,6185,43,6890,0.0,0.38784493959315064,9.894704643958345
TC0002_PlannerB:/plan?wicket:interface=:3:indicator:big-form:segment:part:task::IBehaviorListener:0:-1&random=0.5962860213474035,20,4671,5310,8745,9,8949,0.0,0.4286234757077645,10.676010379385353
TC0002_PlannerB:/logout,20,26,16,47,8,122,0.0,0.8248443106363673,1.1849081845176723
TC0001_PlannerA:/logout,20,26,13,46,9,104,0.0,0.9918666931164452,1.4248397515373932
TC0001_PlannerA:/,20,14,8,24,4,68,0.0,0.9930486593843098,1.4265376737835154
TOTAL,1960,2964,691,9337,2,25160,0.0,17.464291760596637,466.3705441970213
