Sample#,Start time,Thread name,Label,SampleTime,Status,Bytes
1,50:42.6,TC0001_PlannerA 1-1,/login.html,8,Success,1471
2,50:42.7,TC0001_PlannerA 1-2,/login.html,8,Success,1471
3,50:42.7,TC0002_PlannerB 2-1,/login.html,14,Success,1471
4,50:42.7,TC0001_PlannerA 1-3,/login.html,9,Success,1471
5,50:42.6,TC0001_PlannerA 1-1,/login.do,117,Success,25033
6,50:42.8,TC0002_PlannerB 2-2,/login.html,7,Success,1471
7,50:42.8,TC0001_PlannerA 1-4,/login.html,6,Success,1471
8,50:42.8,TC0003_PlannerC 3-1,/login.html,7,Success,1471
9,50:42.8,TC0002_PlannerB 2-3,/login.html,5,Success,1471
10,50:42.9,TC0001_PlannerA 1-5,/login.html,5,Success,1471
11,50:42.9,TC0003_PlannerC 3-2,/login.html,5,Success,1471
12,50:42.9,TC0002_PlannerB 2-4,/login.html,17,Success,1471
13,50:42.9,TC0001_PlannerA 1-6,/login.html,19,Success,1471
14,50:42.9,TC0003_PlannerC 3-3,/login.html,23,Success,1471
15,50:42.9,TC0002_PlannerB 2-5,/login.html,18,Success,1471
16,50:42.7,TC0002_PlannerB 2-1,/login.do,228,Success,25033
17,50:43.0,TC0001_PlannerA 1-7,/login.html,10,Success,1471
18,50:43.0,TC0003_PlannerC 3-4,/login.html,11,Success,1471
19,50:43.0,TC0002_PlannerB 2-6,/login.html,8,Success,1471
20,50:43.0,TC0001_PlannerA 1-8,/login.html,7,Success,1471
21,50:43.0,TC0003_PlannerC 3-5,/login.html,8,Success,1471
22,50:43.1,TC0001_PlannerA 1-9,/login.html,11,Success,1471
23,50:43.0,TC0002_PlannerB 2-7,/login.html,37,Success,1471
24,50:43.1,TC0003_PlannerC 3-6,/login.html,10,Success,1471
25,50:43.1,TC0002_PlannerB 2-8,/login.html,14,Success,1471
26,50:42.7,TC0001_PlannerA 1-2,/login.do,410,Success,25033
27,50:43.1,TC0001_PlannerA 1-10,/login.html,7,Success,1471
28,50:43.1,TC0003_PlannerC 3-7,/login.html,7,Success,1471
29,50:43.2,TC0002_PlannerB 2-10,/login.html,119,Success,1471
30,50:43.2,TC0001_PlannerA 1-11,/login.html,146,Success,1471
31,50:43.1,TC0002_PlannerB 2-9,/login.html,176,Success,1471
32,50:43.2,TC0003_PlannerC 3-8,/login.html,152,Success,1471
33,50:43.3,TC0001_PlannerA 1-13,/login.html,56,Success,1471
34,50:43.3,TC0002_PlannerB 2-11,/login.html,84,Success,1471
35,50:43.2,TC0003_PlannerC 3-9,/login.html,102,Success,1471
36,50:43.2,TC0001_PlannerA 1-12,/login.html,124,Success,1471
37,50:43.3,TC0002_PlannerB 2-12,/login.html,46,Success,1471
