sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
TC0004_UpdatePlanDetails:/login.html,40,35,39,70,2,89,0.0,3.3467202141900936,4.252034178380187
TC0005_AddNewEvents:/login.html,40,50,38,115,3,157,0.0,3.90625,4.962921142578125
TC0006_AddNewOrg:/login.html,40,79,25,188,3,201,0.0,3.3200531208499338,4.218153427954848
TC0007_UpdatePlanSegment:/login.html,40,138,42,398,2,425,0.0,1.323582939015916,1.6816224645114324
TC0008_AddNewGoals:/login.html,40,628,24,3046,3,3083,0.0,1.0256147278274916,1.3030515243198892
TC0009_UpdateSameTask:/login.html,40,641,23,3030,2,3061,0.0,1.3387328893202584,1.700870594732086
TC0010_AddFlow:/login.html,60,269,5,275,2,3052,0.0,1.4048232264106766,1.784838884336221
TC0011_UpdatePhase:/login.html,40,1026,12,3031,2,3044,0.0,0.9672115291614276,1.2288498041396654
TC0012_UpdateAgent:/login.html,40,1006,37,3095,2,3101,0.0,1.162756896601843,1.477291721170896
TC0005_AddNewEvents:/login.do,20,7641,9307,9810,427,9858,0.0,2.0253164556962027,44.30587420886076
TC0006_AddNewOrg:/login.do,20,7268,8462,9491,355,11555,0.0,1.7204301075268817,39.839213709677416
TC0013_UpdatePlace:/login.html,60,135,5,575,2,594,0.0,1.4605647517039921,1.8556589277020448
TC0014_UpdateTransmissionMedia:/login.html,40,1217,174,3053,3,3233,0.0,0.9883864591055103,1.2557527180627626
TC0006_AddNewOrg:/,40,247,7,20,2,8929,0.0,3.4713182330990193,4.81662354638549
TC0015_UpdateOrg:/login.html,40,1385,51,3051,3,3201,0.0,0.9816914543758896,1.247246662249055
TC0016_UpdateRoles:/login.html,40,1261,110,3133,3,3179,0.0,1.2468827930174564,1.5841743298004989
TC0005_AddNewEvents:/,40,107,8,47,2,3162,0.0,4.119888763003399,3.1944225396539294
TC0004_UpdatePlanDetails:/login.do,20,6888,8766,10075,590,10322,0.0,1.9364833462432223,42.36274796064098
TC0007_UpdatePlanSegment:/login.do,20,6736,6996,9515,153,11531,0.0,1.7310022503029254,42.300775840617966
