Sample#,Start time,Thread name,Label,SampleTime,Status,Bytes
1,18:02:34.863,TC0004_UpdatePlanDetails 1-7,/login.html,95,Success,1471
2,18:02:34.870,TC0004_UpdatePlanDetails 1-15,/login.html,89,Success,1471
3,18:02:34.871,TC0004_UpdatePlanDetails 1-17,/login.html,92,Success,1471
4,18:02:34.958,TC0007_UpdatePlanSegment 4-7,/login.html,7,Success,1471
5,18:02:34.857,TC0004_UpdatePlanDetails 1-1,/login.html,107,Success,1471
6,18:02:34.859,TC0004_UpdatePlanDetails 1-3,/login.html,106,Success,1471
7,18:02:34.874,TC0004_UpdatePlanDetails 1-20,/login.html,94,Success,1471
8,18:02:34.874,TC0004_UpdatePlanDetails 1-19,/login.html,95,Success,1471
9,18:02:34.964,TC0007_UpdatePlanSegment 4-9,/login.html,5,Success,1471
10,18:02:34.858,TC0004_UpdatePlanDetails 1-2,/login.html,112,Success,1471
11,18:02:34.860,TC0004_UpdatePlanDetails 1-4,/login.html,105,Success,1471
12,18:02:34.876,TC0005_AddNewEvents 2-1,/login.html,94,Success,1471
13,18:02:34.866,TC0004_UpdatePlanDetails 1-10,/login.html,110,Success,1471
14,18:02:34.879,TC0005_AddNewEvents 2-3,/login.html,99,Success,1471
15,18:02:34.867,TC0004_UpdatePlanDetails 1-11,/login.html,108,Success,1471
16,18:02:34.864,TC0004_UpdatePlanDetails 1-8,/login.html,110,Success,1471
17,18:02:34.878,TC0005_AddNewEvents 2-2,/login.html,95,Success,1471
18,18:02:34.882,TC0005_AddNewEvents 2-5,/login.html,103,Success,1471
19,18:02:34.871,TC0004_UpdatePlanDetails 1-16,/login.html,116,Success,1471
20,18:02:34.869,TC0004_UpdatePlanDetails 1-14,/login.html,118,Success,1471
21,18:02:34.861,TC0004_UpdatePlanDetails 1-5,/login.html,112,Success,1471
22,18:02:34.982,TC0007_UpdatePlanSegment 4-13,/login.html,7,Success,1471
23,18:02:34.862,TC0004_UpdatePlanDetails 1-6,/login.html,110,Success,1471
24,18:02:34.974,TC0007_UpdatePlanSegment 4-12,/login.html,9,Success,1471
25,18:02:34.884,TC0005_AddNewEvents 2-6,/login.html,98,Success,1471
26,18:02:34.868,TC0004_UpdatePlanDetails 1-12,/login.html,114,Success,1471
27,18:02:34.868,TC0004_UpdatePlanDetails 1-13,/login.html,119,Success,1471
28,18:02:34.887,TC0005_AddNewEvents 2-8,/login.html,105,Success,1471
