sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
TC0001_PlannerA:/login.html,40,125,2,3103,481.96966644696636,0.0,0.7517807807243408,1.0799507113725637,1471.0
TC0001_PlannerA:/login.do,20,4122,45,9389,3177.802344388335,0.0,1.8703824932198634,36.61748632282802,20047.4
TC0002_PlannerB:/login.html,40,49,2,289,66.88196692681818,0.0,0.7686395080707148,1.1041686683320522,1471.0
TC0003_PlannerC:/login.html,40,199,2,3108,584.2272053747582,0.0,0.7577623278458712,1.0885433440051528,1471.0
TC0004_UpdatePlanDetails:/login.html,40,23,2,509,78.30477316230474,0.0,5.272871078302136,7.574602886896915,1471.0
TC0005_AddNewEvents:/login.html,40,23,2,89,28.413861054070072,0.0,3.8714672861014323,5.561453493999226,1471.0
TC0006_AddNewOrg:/login.html,40,130,2,329,137.18654270736616,0.0,3.873341725573739,5.564146170233369,1471.0
TC0007_UpdatePlanSegment:/login.html,40,78,2,262,108.81543720906514,0.0,3.9200313602508823,5.631216924735398,1471.0
TC0001_PlannerA:/;jsessionid=lh1vm01a5fzp13wv1peqjmq0f,20,948,3,5640,1585.8786294984873,0.0,1.8497965223825379,14.216968848270442,7870.15
TC0008_AddNewGoals:/login.html,40,79,3,223,93.79471933429942,0.0,3.908540160250147,5.614709546609341,1471.0
TC0002_PlannerB:/login.do,20,4132,284,9472,2777.117215297186,0.0,1.886080724254998,41.51551006695587,22539.8
TC0009_UpdateSameTask:/login.html,40,67,2,180,66.86287740592682,0.0,1.0734796843969727,1.5420787263163545,1471.0
TC0003_PlannerC:/login.do,20,5559,591,9426,2698.2897597367123,0.0,1.903311762466692,44.210921143414545,23785.9
TC0013_UpdatePhase:/login.html,60,48,2,403,99.9137405743352,0.0,1.6771019677996422,2.409196283821556,1471.0
TC0010_AddFlow:/login.html,60,53,2,172,56.401563709607274,0.0,6.485084306095979,9.315975599870297,1471.0
TC0011_UpdatePhase:/login.html,40,58,2,186,51.47566779557115,0.0,3.9184952978056424,5.629010335031348,1471.0
TC0012_UpdateAgent:/login.html,40,73,3,419,72.40904208039215,0.0,5.116398055768739,7.349825722691226,1471.0
TC0003_PlannerC:/,40,703,2,5249,1517.5498467925197,0.0,0.766562541921389,4.3542661301527374,5816.575
TC0006_AddNewOrg:/login.do,20,6416,203,10062,3744.5200306581355,0.0,1.971608832807571,38.59886386041009,20047.2
TC0001_PlannerA:/home,20,574,7,1814,527.5118458385556,0.0,1.697792869269949,14.178642959465195,8551.65
TC0002_PlannerB:/,40,994,2,9065,2110.1406752572207,0.0,0.7765934727318617,4.437105484448716,5850.675
TC0006_AddNewOrg:/,40,31,2,365,73.2768722039908,0.0,4.079135223332654,3.6879525290638386,925.8
TC0003_PlannerC:/home,20,408,5,1595,515.1024631080694,0.0,1.7307026652821045,18.442462249048116,10911.8
TC0009_UpdateSameTask:/login.do,20,5278,124,9197,2974.1494494224735,0.0,2.1746221593998043,39.926827362183325,18801.0
TC0008_AddNewGoals:/login.do,20,7180,247,9849,3426.0721329242324,0.0,1.9902477858493384,38.964250951587225,20047.45
TC0007_UpdatePlanSegment:/login.do,20,5718,274,9829,3979.5734055297935,0.0,1.9837333862328903,41.250418443761156,21293.4
TC0014_UpdateTransmissionMedia:/login.html,40,281,3,3105,660.9539015695422,0.0,1.1333050007083156,1.6280191953534495,1471.0
TC0009_UpdateSameTask:/;jsessionid=1565r9oy88ew89gf57ypx1c4,20,400,3,5516,1223.1011201041392,0.0,2.2002200220022,3.646263063806381,1697.0
TC0001_PlannerA:/plan,500,437,3,17598,1744.714632368285,0.0,9.545628102329134,62.77301987877052,6733.928
TC0015_UpdateOrg:/login.html,40,1187,3,3822,1341.0109796343952,0.0,0.863054782402313,1.239798422767385,1471.0
TC0006_AddNewOrg:/home,20,190,6,1719,417.92481082127676,0.0,2.0807324178110695,2.9890208853516436,1471.0
TC0016_UpdateRoles:/login.html,40,779,2,3820,1514.0823086939495,0.0,1.2045653024964615,1.7303862890354442,1471.0
TC0006_AddNewOrg:/plan,220,95,3,2630,305.69388675060907,0.0,23.29274748544203,4.572111566966649,201.0
TC0002_PlannerB:/home,20,399,4,1461,471.71033484544307,0.0,1.7477934108188413,16.494032241326575,9663.55
TC0008_AddNewGoals:/;jsessionid=v4qj4t58e12cxtomr3byrdrp,20,139,2,1812,399.549696533485,0.0,2.0885547201336676,0.7762733657059314,380.6
TC0007_UpdatePlanSegment:/;jsessionid=1xt36437vclwczwcyw7iqm4eq,20,223,2,3120,681.4653531178236,0.0,2.0898641588296765,0.6376738832288401,312.45
TC0002_PlannerB:/plan,340,738,3,16669,2301.7116743939764,0.0,6.686595342983009,83.69279672995988,12816.9
TC0010_AddFlow:/login.do,20,5228,462,8322,2622.931051324071,0.0,2.4018253872943434,44.09835850246187,18801.0
TC0003_PlannerC:/plan,420,673,3,20367,2315.1066035313115,0.0,8.07568066451315,96.60914171257306,12250.083333333334
TC0012_UpdateAgent:/login.do,20,5703,431,7175,1880.9408842385237,0.0,2.7816411682892905,61.22843141515994,22539.9
TC0009_UpdateSameTask:/home,20,265,6,1767,512.6626449235404,0.0,1.9173617102866456,4.963982060684499,2651.1
TC0011_UpdatePhase:/login.do,20,5646,466,9957,2366.1549922817826,0.0,2.008637139700713,39.32377975293763,20047.2
TC0007_UpdatePlanSegment:/home,20,117,5,1205,290.1058212101232,0.0,2.168256721595837,3.114751599089332,1471.0
TC0007_UpdatePlanSegment:/plan,100,131,3,2049,370.45767626005534,0.0,10.997470581766192,3.7954161167931377,353.4
TC0007_UpdatePlanSegment:/plan?wicket:interface=:1:indicator:big-form:sg-editor:mo:aspect:name::IBehaviorListener:0:-1&random=0.3922618456124106,20,142,4,1275,344.8860826417906,0.0,2.2104332449160036,0.15973833996463307,74.0
TC0007_UpdatePlanSegment:/logout,20,62,8,440,122.80126220849687,0.0,2.204342554833021,3.1665897442962634,1471.0
