sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
TC0001_PlannerA:/login.html,60,1281,49,1238,2,21100,0.03333333333333333,0.2562525625256252,0.3690554076764726
TC0002_PlannerB:/login.html,60,992,81,1239,3,21069,0.016666666666666666,0.25756600128783,0.3704733110646062
TC0003_PlannerC:/login.html,60,1750,153,2275,2,21054,0.05,0.2611091044392899,0.3765300381545679
TC0004_UpdatePlanDetails:/login.html,60,409,516,617,3,2916,0.0,0.4060034374957708,0.583233453668241
TC0008_AddNewGoals:/login.html,60,1699,144,6095,3,6215,0.0,1.303724305766807,1.872830521272435
TC0001_PlannerA:/login.do,30,12157,12912,21632,741,32568,0.1,0.7846419417272584,13.5550726692865
TC0005_AddNewEvents:/login.html,60,368,397,885,3,1388,0.0,1.3591881116346503,1.9525055783345415
TC0009_UpdateSameTask:/login.html,60,3677,132,6979,3,21045,0.06666666666666667,0.27369515833264907,0.39518302223317003
TC0010_AddFlow:/login.html,90,3245,33,21016,2,21128,0.12222222222222222,0.41275694119589446,0.5985020434334957
TC0011_UpdatePhase:/login.html,60,9512,277,21069,2,21087,0.45,0.2742506102076077,0.40758622182074983
TC0012_UpdateAgent:/login.html,60,2828,237,12050,3,21040,0.05,0.31800715516099115,0.4585793610043726
TC0005_AddNewEvents:/login.do,30,15603,17780,28513,379,30246,0.1,0.9773260359655981,16.101478256531795
TC0016_UpdateRoles:/login.html,60,7353,174,21088,2,21129,0.31666666666666665,0.2896284067541344,0.4261789610908371
TC0006_AddNewOrg:/login.html,60,577,756,1285,5,1367,0.0,0.34654037195333254,0.49781336635092993
TC0002_PlannerB:/login.do,30,12253,9549,23013,860,32562,0.03333333333333333,0.6972204146137398,11.964388559484522
TC0009_UpdateSameTask:/login.do,30,21209,20782,28525,805,38311,0.03333333333333333,0.6745817593092283,14.860056784324968
TC0007_UpdatePlanSegment:/login.html,60,641,1108,1257,2,1408,0.0,0.27003794033061645,0.38791583029915705
TC0005_AddNewEvents:/,60,593,90,1028,5,13640,0.0,1.391659321798024,1.8535071989377
TC0005_AddNewEvents:/home,30,1694,43,2714,13,16228,0.0,0.7240954840578311,1.5954142882141393
TC0010_AddFlow:/login.do,30,14853,18017,22463,1066,26916,0.06666666666666667,0.675812664729337,10.534801888333222
TC0014_UpdateTransmissionMedia:/login.html,60,6099,51,21100,3,21121,0.26666666666666666,0.2782002299788568,0.4078277720334582
