sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
TC0001_PlannerA:/login.html,60,6,4,11,3,54,0.0,0.2935018686285636,0.4216223132349776
TC0001_PlannerA:/login.do,30,2950,2912,5238,40,5558,0.0,5.04116955133591,123.23394965131911
TC0002_PlannerB:/login.html,60,6,4,11,2,50,0.0,0.29536134999827707,0.4242935018041656
TC0001_PlannerA:/;jsessionid=lh1vm01a5fzp13wv1peqjmq0f,30,2022,1566,3944,59,5817,0.0,4.1073384446878425,100.57042801889375
TC0001_PlannerA:/home,30,2267,2153,4116,110,4975,0.0,3.1062331745703045,76.05781800062125
TC0003_PlannerC:/login.html,60,5,4,8,2,34,0.0,0.2949997541668715,0.4237740609174493
TC0002_PlannerB:/login.do,30,3118,2882,5233,236,5555,0.0,5.122076148198737,125.21125229426328
TC0003_PlannerC:/login.do,30,3297,2857,5268,732,5913,0.0,4.948861761794787,120.97647228637413
TC0002_PlannerB:/,60,1055,29,3305,4,5222,0.0,0.2957908955562348,3.8337417532882085
TC0003_PlannerC:/,60,1094,31,3165,4,4359,0.0,0.2962553325959867,3.839746849818297
TC0002_PlannerB:/home,30,2075,1943,2953,590,4830,0.0,3.5486160397444992,86.88945783800567
TC0003_PlannerC:/home,30,2016,2080,2974,331,4833,0.0,4.123711340206186,100.9705219072165
TC0002_PlannerB:/plan,510,8334,5121,22039,10,47341,0.0,2.5456469437262284,100.29915738618212
TC0001_PlannerA:/plan,750,5997,918,17240,10,40312,0.0,3.6732115133141674,121.66751233433816
TC0003_PlannerC:/plan,630,7159,2060,21679,9,49496,0.0,3.1991712623015753,104.25715413880087
TC0001_PlannerA:/plan?wicket:interface=:1:indicator:big-form:sg-editor:mo:aspect:name::IBehaviorListener:0:-1&random=0.04952374825592731,30,8525,7666,13995,992,18559,0.0,0.480007680122882,7.858469485511768
TC0003_PlannerC:/plan?wicket:interface=:3:indicator:big-form:sg-editor:mo:aspect:name::IBehaviorListener:0:-1&random=0.34656063287857475,30,7657,7306,13789,24,18870,0.0,0.4890374113619692,8.015342275246557
TC0002_PlannerB:/plan?wicket:interface=:3:indicator:big-form:sg-editor:mo:aspect:name::IBehaviorListener:0:-1&random=0.4138994495518806,30,6060,3851,13007,19,16476,0.0,0.34382377885254545,5.265954408250624
TC0001_PlannerA:/plan?wicket:interface=:1:indicator:big-form:plan:mo:aspect:phases:phasesDiv:phase:2:name-container:name-input::IBehaviorListener:0:-1&random=0.46378963077786883,30,154,117,345,25,455,0.0,0.3450179409329285,0.029649979298923546
TC0002_PlannerB:/plan?wicket:interface=:3:indicator:big-form:sg-editor:mo:aspect:goalsDiv:goal:0:category::IBehaviorListener:0:-1&random=0.7597529129175038,30,42,22,83,7,322,0.0,0.25104182356780635,0.017071170879985272
TC0001_PlannerA:/plan?wicket:interface=:1:indicator:big-form:plan:mo:aspect:tabs:panel:newInvolvedContainer:newInvolved::IBehaviorListener:0:-1&random=0.822921901842721,30,230,59,237,24,2304,0.0,0.3294929104108777,0.6041454155180177
TC0003_PlannerC:/plan?wicket:interface=:3:indicator:big-form:plan:mo:aspect:tabs:panel:newInvolvedContainer:newInvolved::IBehaviorListener:0:-1&random=0.14536738289529483,30,241,96,499,31,1719,0.0,0.24222067918678444,0.5556567611865584
TC0002_PlannerB:/plan?wicket:interface=:3:indicator:big-form:sg-editor:mo:aspect:goalsDiv:goal:0:organization:name::IBehaviorListener:0:-1&random=0.9689886339409747,30,16931,16574,22997,149,25711,0.0,0.2293963816544067,13.123728164331922
TC0001_PlannerA:/plan?wicket:interface=:1:indicator:big-form:segment:part:task::IBehaviorListener:0:-1&random=0.6748635462921264,30,10198,11411,16012,15,20042,0.0,0.28771458712956743,6.542893824326269
TC0003_PlannerC:/plan?wicket:interface=:3:indicator:big-form:sg-editor:mo:aspect:context:container:creationDiv:event::IBehaviorListener:0:-1&random=0.9994412394033615,30,1200,960,2937,45,4695,0.0,0.27666599037202355,0.018822653641846654
TC0003_PlannerC:/plan?wicket:interface=:3:indicator:big-form:sg-editor:mo:aspect:context:container:creationDiv:level::IBehaviorListener:0:-1&random=0.6389264980464004,30,6986,7537,10834,41,18807,0.0,0.2759153491708744,5.722108910111378
TC0003_PlannerC:/logout,30,18,14,27,9,52,0.0,0.28637977776929247,0.4113912627916301
TC0001_PlannerA:/plan?wicket:interface=:1:indicator:big-form:segment:part:actor:name::IBehaviorListener:0:-1&random=0.5394079998653609,30,7460,8172,13568,15,16913,0.0,0.31251302137589065,7.447026601368807
TC0001_PlannerA:/plan?wicket:interface=:1:indicator:big-form:segment:part:organization:name::IBehaviorListener:0:-1&random=0.09072531443656007,30,8759,8139,13667,11,14632,0.0,0.3465043486295753,8.48585991551069
TC0002_PlannerB:/plan?wicket:interface=:3:indicator:big-form:segment:part:task::IBehaviorListener:0:-1&random=0.5962860213474035,30,10191,8707,20351,51,28424,0.0,0.3152419481952398,8.890992782272894
TC0001_PlannerA:/logout,30,26,18,56,10,68,0.0,0.48557046436722073,0.6975333526212713
TC0001_PlannerA:/,30,13,8,23,4,74,0.0,0.4859007790609158,0.6980078574205147
TC0002_PlannerB:/logout,30,20,15,37,7,105,0.0,0.5236058992931321,0.7521721463478488
TOTAL,2940,5599,1334,16849,2,49496,0.0,14.381591562799617,388.79739195309594
