Sample#,Start time,Thread name,Label,SampleTime,Status,Bytes
1,19:04:25.630,TC0001_PlannerA 1-1,/login.html,4,Success,1471
2,19:04:25.664,TC0001_PlannerA 1-2,/login.html,7,Success,1471
3,19:04:25.635,TC0001_PlannerA 1-1,/login.do,40,Success,25033
4,19:04:25.700,TC0001_PlannerA 1-3,/login.html,5,Success,1471
5,19:04:25.721,TC0002_PlannerB 2-1,/login.html,6,Success,1471
6,19:04:25.677,TC0001_PlannerA 1-1,/;jsessionid=lh1vm01a5fzp13wv1peqjmq0f,59,Success,25074
7,19:04:25.672,TC0001_PlannerA 1-2,/login.do,68,Success,25033
8,19:04:25.737,TC0001_PlannerA 1-4,/login.html,6,Success,1471
9,19:04:25.758,TC0002_PlannerB 2-2,/login.html,5,Success,1471
10,19:04:25.774,TC0001_PlannerA 1-5,/login.html,6,Success,1471
11,19:04:25.794,TC0002_PlannerB 2-3,/login.html,7,Success,1471
12,19:04:25.810,TC0001_PlannerA 1-6,/login.html,11,Success,1471
13,19:04:25.707,TC0001_PlannerA 1-3,/login.do,121,Success,25033
14,19:04:25.742,TC0001_PlannerA 1-2,/;jsessionid=lh1vm01a5fzp13wv1peqjmq0f,91,Success,25074
15,19:04:25.832,TC0002_PlannerB 2-4,/login.html,5,Success,1471
16,19:04:25.739,TC0001_PlannerA 1-1,/home,110,Success,25074
17,19:04:25.846,TC0001_PlannerA 1-7,/login.html,5,Success,1471
18,19:04:25.858,TC0003_PlannerC 3-1,/login.html,3,Success,1471
19,19:04:25.872,TC0002_PlannerB 2-5,/login.html,3,Success,1471
20,19:04:25.881,TC0001_PlannerA 1-8,/login.html,4,Success,1471
21,19:04:25.896,TC0003_PlannerC 3-2,/login.html,4,Success,1471
22,19:04:25.910,TC0002_PlannerB 2-6,/login.html,3,Success,1471
23,19:04:25.917,TC0001_PlannerA 1-9,/login.html,4,Success,1471
24,19:04:25.933,TC0003_PlannerC 3-3,/login.html,7,Success,1471
25,19:04:25.948,TC0002_PlannerB 2-7,/login.html,6,Success,1471
26,19:04:25.953,TC0001_PlannerA 1-10,/login.html,8,Success,1471
27,19:04:25.728,TC0002_PlannerB 2-1,/login.do,236,Success,25033
28,19:04:25.970,TC0003_PlannerC 3-4,/login.html,6,Success,1471
29,19:04:25.988,TC0001_PlannerA 1-11,/login.html,6,Success,1471
30,19:04:25.986,TC0002_PlannerB 2-8,/login.html,10,Success,1471
31,19:04:25.744,TC0001_PlannerA 1-4,/login.do,263,Success,25033
