sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
TC0001_PlannerA:/login.html,60,6,3,54,7.654991109654464,0.0,0.2935018686285636,0.4216223132349776,1471.0
TC0001_PlannerA:/login.do,30,2950,40,5558,1836.647836866574,0.0,5.04116955133591,123.23394965131911,25032.2
TC0002_PlannerB:/login.html,60,6,2,50,8.234261081333015,0.0,0.29536134999827707,0.4242935018041656,1471.0
TC0001_PlannerA:/;jsessionid=lh1vm01a5fzp13wv1peqjmq0f,30,2022,59,5817,1447.8425716293268,0.0,4.1073384446878425,100.57042801889375,25073.2
TC0001_PlannerA:/home,30,2267,110,4975,1188.5327462417215,0.0,3.1062331745703045,76.05781800062125,25073.2
TC0003_PlannerC:/login.html,60,5,2,34,4.749268949591669,0.0,0.2949997541668715,0.4237740609174493,1471.0
TC0002_PlannerB:/login.do,30,3118,236,5555,1637.1619159047427,0.0,5.122076148198737,125.21125229426328,25032.1
TC0003_PlannerC:/login.do,30,3297,732,5913,1510.6817386715031,0.0,4.948861761794787,120.97647228637413,25032.0
TC0002_PlannerB:/,60,1055,4,5222,1401.798970668286,0.0,0.2957908955562348,3.8337417532882085,13272.05
TC0003_PlannerC:/,60,1094,4,4359,1400.9417050089319,0.0,0.2962553325959867,3.839746849818297,13272.0
TC0002_PlannerB:/home,30,2075,590,4830,1126.8588637841426,0.0,3.5486160397444992,86.88945783800567,25073.1
TC0003_PlannerC:/home,30,2016,331,4833,1176.857706871235,0.0,4.123711340206186,100.9705219072165,25073.0
TC0002_PlannerB:/plan,510,8334,10,47341,9304.84917892583,0.0,2.5456469437262284,100.29915738618212,40345.86862745098
TC0001_PlannerA:/plan,750,5997,10,40312,7927.840782132688,0.0,3.6732115133141674,121.66751233433816,33917.876
TC0003_PlannerC:/plan,630,7159,9,49496,9586.170406581485,0.0,3.1991712623015753,104.25715413880087,33370.93174603175
TC0001_PlannerA:/plan?wicket:interface=:1:indicator:big-form:sg-editor:mo:aspect:name::IBehaviorListener:0:-1&random=0.04952374825592731,30,8525,992,18559,4622.688091960732,0.0,0.480007680122882,7.858469485511768,16764.466666666667
