sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
TC0004_UpdatePlanDetails:/login.html,60,36,21,95,2,124,0.0,2.6949335249730506,3.4239340976464248
TC0005_AddNewEvents:/login.html,60,83,71,176,2,192,0.0,7.177892092355545,9.119567980619692
TC0006_AddNewOrg:/login.html,60,501,15,3002,2,3017,0.0,2.158118120998489,2.741905933026401
TC0007_UpdatePlanSegment:/login.html,60,607,13,3012,2,3193,0.0,2.0639834881320946,2.622307146542828
TC0008_AddNewGoals:/login.html,60,873,18,3139,2,3149,0.0,1.8571826539140126,2.3595650710372365
TC0005_AddNewEvents:/login.do,30,3795,3656,6701,36,7069,0.0,4.188774085450991,96.99752709613237
TC0009_UpdateSameTask:/login.html,60,1129,20,3102,2,3222,0.0,2.156799309824221,2.7402303731262805
TC0005_AddNewEvents:/,60,602,48,1402,2,5587,0.0,7.354743809757294,21.210607111117923
TC0008_AddNewGoals:/login.do,30,3089,3527,3819,20,4148,0.0,4.403992953611274,109.5010126890047
TC0010_AddFlow:/login.html,90,142,7,190,2,3195,0.0,2.5020850708924103,3.1789186301084236
TC0008_AddNewGoals:/;jsessionid=v4qj4t58e12cxtomr3byrdrp,30,570,48,2893,2,3016,0.0,3.114941335271519,11.103569365849859
TC0005_AddNewEvents:/home,30,237,155,282,6,1301,0.0,3.8231171148209504,4.114953365936026
TC0005_AddNewEvents:/plan,270,79,40,172,4,1580,0.0,33.36628769154721,6.853557139767672
TC0008_AddNewGoals:/home,30,322,81,988,5,2168,0.0,2.5508035031034777,11.56912278930363
TC0004_UpdatePlanDetails:/login.do,30,3312,3206,5350,405,6857,0.0,4.301075268817204,95.92727934587815
TC0008_AddNewGoals:/plan,240,307,39,419,3,7513,0.0,7.512677643523446,43.97704329180492
TC0006_AddNewOrg:/login.do,30,3471,3336,4968,52,8798,0.0,3.2548551589454267,72.592381943691
TC0004_UpdatePlanDetails:/;jsessionid=1vunvdm5lq1v614sgl9t7lzpr4,30,431,110,1346,2,3343,0.0,3.226153349822561,3.600017474997312
TC0011_UpdatePhase:/login.html,60,157,33,400,3,410,0.0,1.867646143310714,2.372859016061757
TC0012_UpdateAgent:/login.html,60,1065,61,3029,2,3063,0.0,2.159904964181576,2.744176131250225
TC0004_UpdatePlanDetails:/home,30,303,209,293,6,3252,0.0,3.1559015358720806,6.585581639227856
TC0013_UpdatePlace:/login.html,90,612,11,3034,3,3273,0.0,3.4251788704521235,4.351716514119349
TC0004_UpdatePlanDetails:/plan,150,180,55,203,4,4386,0.0,7.257245149741158,17.46945531351299
TC0007_UpdatePlanSegment:/login.do,30,3548,3801,5234,156,8216,0.0,3.327787021630616,77.06080144204104
TC0009_UpdateSameTask:/login.do,30,3380,3574,3661,176,7511,0.0,3.4912137786570465,86.80564394710811
TC0014_UpdateTransmissionMedia:/login.html,60,1079,19,3201,2,3234,0.0,1.877287944682582,2.3851090000312882
TC0007_UpdatePlanSegment:/;jsessionid=1xt36437vclwczwcyw7iqm4eq,30,684,77,1719,2,4071,0.0,2.8793550244745174,10.487619523226797
TC0006_AddNewOrg:/,60,178,11,419,2,3455,0.0,2.198607548552584,3.563361693843899
TC0010_AddFlow:/login.do,30,4206,3044,8725,32,8803,0.0,3.30724286186749,79.40849444658804
TC0006_AddNewOrg:/home,30,70,18,246,5,249,0.0,2.8907303912121796,8.391775269801503
TC0015_UpdateOrg:/login.html,60,1034,28,3154,3,3188,0.0,1.8828845791752966,2.392219567877989
TC0006_AddNewOrg:/plan,330,110,16,134,3,5680,0.0,12.321708610260622,27.34323951254574
TC0010_AddFlow:/;jsessionid=n2q7y7rm3mcn1ij525zgqo2at,30,1495,11,5689,2,7484,0.0,2.9036004645760745,20.394390606852497
TC0004_UpdatePlanDetails:/plan?wicket:interface=:1:indicator:big-form:plan:mo:aspect:name::IBehaviorListener:0:-1&random=0.005395617343375569,30,101,58,197,4,1161,0.0,2.104229501297608,0.1469946780528863
TC0009_UpdateSameTask:/;jsessionid=1565r9oy88ew89gf57ypx1c4,30,500,48,2106,2,5690,0.0,2.919423900350331,10.406624811453874
TC0007_UpdatePlanSegment:/home,30,233,120,330,5,2083,0.0,2.64783759929391,12.009391548984995
TC0011_UpdatePhase:/login.do,30,6739,7976,8308,344,8710,0.0,3.4419458467186783,82.64210575378614
TC0015_UpdateOrg:/login.do,30,4404,5767,7907,178,8263,0.0,3.321523472099203,79.7507300431798
TC0016_UpdateRoles:/login.html,60,105,60,263,2,299,0.0,2.1992522542335604,2.794167170661975
TC0009_UpdateSameTask:/home,30,238,68,464,6,1964,0.0,2.7442371020856204,10.099900235547018
TC0010_AddFlow:/home,30,147,14,267,5,2153,0.0,2.695175635612254,7.196083853651963
TC0008_AddNewGoals:/plan?wicket:interface=:1:indicator:big-form:sg-editor:mo:aspect:goalsDiv:goal:0:category::IBehaviorListener:0:-1&random=0.7321752379604155,30,156,53,221,4,1494,0.0,1.2420303055394553,0.08057833329883249
TC0013_UpdatePlace:/login.do,30,3187,2334,7518,106,8723,0.0,3.284072249589491,76.04765325670498
TC0007_UpdatePlanSegment:/plan,150,458,47,971,4,6488,0.0,5.317263381779511,47.41790782302375
TC0011_UpdatePhase:/;jsessionid=mldfyrsyazh01a9zwmz394xpw,30,648,8,1839,2,7130,0.0,3.014166582939817,13.43874805335075
TC0010_AddFlow:/plan,450,112,10,104,3,9020,0.0,12.78917751378389,53.25751564009833
TC0013_UpdatePlace:/;jsessionid=h8qtame2iq6717ohsf8532rus,30,2153,2417,3608,2,6924,0.0,3.0248033877797944,57.57307578392822
TC0009_UpdateSameTask:/plan,240,217,47,242,4,5979,0.0,8.934221792055988,38.309620225775234
TC0011_UpdatePhase:/home,60,83,16,83,4,1462,0.0,1.9004782870355705,7.005198847439106
TC0015_UpdateOrg:/;jsessionid=1h91r9vfjoebukjamk1rbmrdv,30,1471,406,4156,3,4241,0.0,3.2119914346895073,55.518310024089935
TC0007_UpdatePlanSegment:/plan?wicket:interface=:1:indicator:big-form:sg-editor:mo:aspect:name::IBehaviorListener:0:-1&random=0.3922618456124106,30,298,66,662,5,4416,0.0,1.2786088735455823,0.837671946255807
TC0011_UpdatePhase:/plan,300,202,14,127,3,9752,0.0,9.533494343460022,39.922252367484425
TC0013_UpdatePlace:/home,30,1042,976,2720,3,3455,0.0,2.7487630566245187,50.50234718595382
TC0015_UpdateOrg:/home,30,1118,925,3006,5,3325,0.0,2.7312454479242536,48.05729498588857
TC0004_UpdatePlanDetails:/logout,30,95,76,127,8,949,0.0,1.416029453412631,1.7990764832908523
TC0005_AddNewEvents:/plan?wicket:interface=:1:indicator:big-form:plan:mo:aspect:incidents:eventsDiv:event:1:name-container:name-input::IBehaviorListener:0:-1&random=0.09016340483185992,30,57,48,113,3,229,0.0,4.177109440267335,0.3018614243943191
TC0013_UpdatePlace:/plan,390,630,157,1478,2,7322,0.0,15.15269251690108,218.52742965168235
TC0015_UpdateOrg:/plan,360,1046,202,3346,4,14436,0.0,11.485818205021856,290.8297406917015
TC0012_UpdateAgent:/login.do,30,3746,2549,7665,295,8263,0.0,3.493653196692675,86.86629771020147
TC0004_UpdatePlanDetails:/,30,29,23,55,4,101,0.0,1.424772036474164,1.8101840033719605
TC0005_AddNewEvents:/plan?wicket:interface=:1:indicator:big-form:plan:mo:aspect:incidents:eventsDiv:event:1:confirmed::IBehaviorListener:1:-1&random=0.25871927449742615,30,29,20,51,4,133,0.0,4.246885617214042,0.3069038434314836
TC0012_UpdateAgent:/;jsessionid=itcq1im3tufzyl1asmf75007,30,1222,100,3379,4,3475,0.0,3.104304635761589,40.264306478942466
TC0008_AddNewGoals:/plan?wicket:interface=:1:indicator:big-form:sg-editor:mo:aspect:goalsDiv:goal:0:organization:name::IBehaviorListener:0:-1&random=0.047894925781012065,30,232,32,202,4,4749,0.0,1.0438050172227828,2.7416530935771197
