Sample#,Start time,Thread name,Label,SampleTime,Status,Bytes
1,18:56:56.159,TC0004_UpdatePlanDetails 1-2,/login.html,10,Success,1471
2,18:56:56.161,TC0004_UpdatePlanDetails 1-4,/login.html,56,Success,1471
3,18:56:56.158,TC0004_UpdatePlanDetails 1-1,/login.html,59,Success,1471
4,18:56:56.162,TC0004_UpdatePlanDetails 1-5,/login.html,56,Success,1471
5,18:56:56.160,TC0004_UpdatePlanDetails 1-3,/login.html,60,Success,1471
6,18:56:56.222,TC0005_AddNewEvents 2-10,/login.html,9,Success,1471
7,18:56:56.163,TC0004_UpdatePlanDetails 1-6,/login.html,71,Success,1471
8,18:56:56.171,TC0004_UpdatePlanDetails 1-13,/login.html,63,Success,1471
9,18:56:56.231,TC0005_AddNewEvents 2-13,/login.html,5,Success,1471
10,18:56:56.164,TC0004_UpdatePlanDetails 1-7,/login.html,80,Success,1471
11,18:56:56.234,TC0005_AddNewEvents 2-14,/login.html,23,Success,1471
12,18:56:56.258,TC0005_AddNewEvents 2-21,/login.html,5,Success,1471
13,18:56:56.166,TC0004_UpdatePlanDetails 1-9,/login.html,97,Success,1471
14,18:56:56.168,TC0004_UpdatePlanDetails 1-11,/login.html,113,Success,1471
15,18:56:56.177,TC0004_UpdatePlanDetails 1-18,/login.html,134,Success,1471
16,18:56:56.282,TC0005_AddNewEvents 2-29,/login.html,30,Success,1471
17,18:56:56.175,TC0004_UpdatePlanDetails 1-16,/login.html,180,Success,1471
18,18:56:56.312,TC0006_AddNewOrg 3-13,/login.html,45,Success,1471
19,18:56:56.182,TC0004_UpdatePlanDetails 1-22,/login.html,176,Success,1471
20,18:56:56.184,TC0004_UpdatePlanDetails 1-24,/login.html,175,Success,1471
21,18:56:56.167,TC0004_UpdatePlanDetails 1-10,/login.html,188,Success,1471
22,18:56:56.189,TC0004_UpdatePlanDetails 1-28,/login.html,189,Success,1471
23,18:56:56.178,TC0004_UpdatePlanDetails 1-19,/login.html,275,Success,1471
24,18:56:56.180,TC0004_UpdatePlanDetails 1-20,/login.html,306,Success,1471
25,18:56:56.454,TC0008_AddNewGoals 5-16,/login.html,33,Success,1471
26,18:56:56.240,TC0005_AddNewEvents 2-15,/login.html,249,Success,1471
27,18:56:56.198,TC0005_AddNewEvents 2-3,/login.html,293,Success,1471
28,18:56:56.486,TC0008_AddNewGoals 5-28,/login.html,8,Success,1471
29,18:56:56.490,TC0008_AddNewGoals 5-29,/login.html,8,Success,1471
30,18:56:56.191,TC0004_UpdatePlanDetails 1-30,/login.html,310,Success,1471
31,18:56:56.195,TC0005_AddNewEvents 2-2,/login.html,309,Success,1471
32,18:56:56.193,TC0005_AddNewEvents 2-1,/login.html,314,Success,1471
