2012-01-13 15:51:00,550	WARN 	com.mindalliance.channels.core.dao.PlanManagerImpl	No default plan for user david	
2012-01-13 15:51:00,857	WARN 	com.mindalliance.channels.core.dao.PlanManagerImpl	No default plan for user howard	
2012-01-13 15:51:00,857	WARN 	com.mindalliance.channels.core.dao.PlanManagerImpl	No default plan for user romit	
2012-01-13 15:57:12,537	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1klf793eg1rxr64tsb8h1zwty
2012-01-13 15:57:12,836	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1rrhcrocg1b83cg9gi4rnhvvu
2012-01-13 15:57:13,731	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=4byppwqm4tnptf5th56942l1
2012-01-13 15:57:14,736	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=k0zyepxyahy9i1gfqskwlrbv
2012-01-13 15:57:15,684	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=lm34l33fpp675m9xx88l09mq
2012-01-13 15:57:16,673	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=s6hjqdtvm4s9v5yd3uk6l6jk
2012-01-13 15:57:20,096	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1vn2cwtaj5v706f5bdw2azmn3
2012-01-13 15:57:21,131	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=4yfqdfintty615l59gzryohd9
2012-01-13 15:57:22,142	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=iw8w3a4qppnp19movwcvvz6dk
2012-01-13 15:57:23,094	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=nxxaii33mtu51w25bpl0a3fco
2012-01-13 15:57:24,143	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=oe66jrpxoalbzd51v56ula55
2012-01-13 15:57:25,118	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=qjwerktfl9hgsiigagwobqlq
2012-01-13 15:57:26,108	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1dwo392o9cdjli6zw717zvphb
2012-01-13 15:57:27,082	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=c3vzone20db35d8jnjkhqzrz
2012-01-13 15:57:28,071	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1t8pmbc3k46xvss3kzuvepnx4
2012-01-13 15:57:29,092	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=14d14ueq1l52htartagktnnw
2012-01-13 15:57:30,095	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=19qiy92ha8hen1dp2ztbinvp04
2012-01-13 15:57:31,101	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=wvp6ccnn2czmpejaoga6d2bx
2012-01-13 15:57:32,183	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=9jgg726qjtze1vyr1ppzmx22i
2012-01-13 15:57:33,101	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=ctsg3urd36jv4betebbrg70h
2012-01-13 15:57:34,101	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1a7nskoktt9lp16okwfw43m8oa
2012-01-13 15:57:35,086	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=mpoxiv8i6ixk13ricrdlr3mn3
2012-01-13 15:57:36,103	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=svsg0lhgfxgdaftvrvxccn9i
2012-01-13 15:57:37,097	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=fyribg3bmy6vck20zzbwj0sz
