2012-01-13 11:14:02,061	WARN 	com.mindalliance.channels.core.dao.PlanManagerImpl	No default plan for user david	
2012-01-13 11:14:02,381	WARN 	com.mindalliance.channels.core.dao.PlanManagerImpl	No default plan for user howard	
2012-01-13 11:14:02,381	WARN 	com.mindalliance.channels.core.dao.PlanManagerImpl	No default plan for user romit	
2012-01-13 11:16:07,715	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=11pckr24qfaev14u4iien0oqce
2012-01-13 11:16:08,288	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=fcpkikdmptrt1xn8netv0tp94
2012-01-13 11:16:09,276	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1pxejz1a3mk4lirzp816gian9
2012-01-13 11:16:10,253	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=123ly02ypkgcf3x8awnfqzwf0
2012-01-13 11:16:11,245	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=d6h98bxxcxbng9fqg3767pfa
2012-01-13 11:16:29,206	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1awygrm17ce8p1av3a0hqytw7t
2012-01-13 11:16:30,111	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=i4hxa2p80x3fwyv3bo45404j
2012-01-13 11:16:31,102	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=f8ycqijlm5ba1nvx8mqy8aqf7
2012-01-13 11:16:32,099	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1dugdgdhy5pc2vcyh28yz7awn
2012-01-13 11:16:33,103	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=xqtnlcxjskay144h8296sv7mn
