2012-01-20 14:20:33,974	WARN 	com.mindalliance.channels.core.dao.PlanManagerImpl	No default plan for user david	
2012-01-20 14:20:34,395	WARN 	com.mindalliance.channels.core.dao.PlanManagerImpl	No default plan for user howard	
2012-01-20 14:20:34,395	WARN 	com.mindalliance.channels.core.dao.PlanManagerImpl	No default plan for user romit	
2012-01-20 14:21:39,744	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=tquyosyd2yqkahdk3cwwic25
2012-01-20 14:21:41,576	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=2gb360c4kxi7d1sbobwmq0wb
2012-01-20 14:21:42,642	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=k3nstaf9eoo315yxxwbllorpk
2012-01-20 14:21:43,337	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=18qz10uh2dmdj1wzg1b85k6165
2012-01-20 14:21:44,124	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=1m476z9g74ox81ux8ahisybpdp
2012-01-20 14:22:45,872	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=bf34amzv7awe4d1ocrpvix7v
2012-01-20 14:22:46,815	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=1kh9vgk38t18o13e0e53uwgfnb
2012-01-20 14:22:47,802	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=l15atoxvzj58mvngcupzvzrf
2012-01-20 14:22:48,840	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=xi9ia9dwhfzz29l4r3y5o3we
2012-01-20 14:22:49,821	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=1mhd6u56tgl2z149xu58e0tiy3
2012-01-20 14:22:50,833	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=1x56awwao9bgrqe7nbahwbc26
2012-01-20 14:22:51,827	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=mmcjhopctepdxy2dvaich0rz
2012-01-20 14:22:53,020	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=ifi8wlpqxq6v1x8ldmc3huv4v
2012-01-20 14:22:53,853	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=d04vhuys4f61vbl8nru128bi
2012-01-20 14:22:54,834	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=1ofvyrtfgwwcg12i0vxj02u7gr
2012-01-20 14:22:55,857	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=iiu4zmw0l68bjgdy0axgre3y
2012-01-20 14:22:58,965	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=12ia2j7dr0t1o15p4rnkjji9s5
