2012-03-02 09:52:43,622	WARN 	org.hibernate.search.store.impl.DirectoryProviderHelper	HSEARCH000041: Index directory not found, creating: '/home/parijat/workspace/channels/data/lucene'	
2012-03-02 09:52:43,624	WARN 	org.hibernate.search.store.impl.DirectoryProviderHelper	HSEARCH000041: Index directory not found, creating: '/home/parijat/workspace/channels/data/lucene/com.mindalliance.channels.core.dao.user.ChannelsUserInfo'	
2012-03-02 10:36:01,741	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=vfwlmqaizo2xfgiwytx0xw3p
2012-03-02 10:36:43,673	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=1ktlbsy6vnziu1lzzv2dydqzhq
2012-03-02 10:36:44,015	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=1ktlbsy6vnziu1lzzv2dydqzhq
2012-03-02 10:36:44,484	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=1dlbnlvg9mxnb1ulwmux11hdct
2012-03-02 10:36:44,837	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=1dlbnlvg9mxnb1ulwmux11hdct
2012-03-02 10:36:45,516	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=1kuqd9wysreboq6jm07w8bevo
2012-03-02 10:36:45,897	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=1kuqd9wysreboq6jm07w8bevo
2012-03-02 10:36:46,427	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=hs0zg4wo2ylje0l5e0kv39vm
2012-03-02 10:36:46,898	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=hs0zg4wo2ylje0l5e0kv39vm
2012-03-02 10:36:47,428	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=m7up45ze8chetfmb0ns787jr
2012-03-02 10:36:47,848	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=m7up45ze8chetfmb0ns787jr
2012-03-02 10:36:48,434	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=pwctekkcwl21l43sdcgybzzi
2012-03-02 10:36:48,898	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=pwctekkcwl21l43sdcgybzzi
2012-03-02 10:36:49,419	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=vj8sm96qnkr2iqljl6pt5fhs
2012-03-02 10:36:49,915	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=vj8sm96qnkr2iqljl6pt5fhs
2012-03-02 10:36:50,415	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=9pmyawz7is36py27zo69lnm8
2012-03-02 10:36:50,926	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=9pmyawz7is36py27zo69lnm8
2012-03-02 10:36:51,434	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=uzqz0ytnspcu1l3gndsvr4rtw
